match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3895275,Bayer Leverkusen,Florian Wirtz,67.0,80.0,147.0,11,12,23,21.18
3837954,Paris Saint-Germain,Marcos Aoás Corrêa,75.0,72.0,147.0,10,12,22,18.01
3895095,Bayer Leverkusen,Edmond Fayçal Tapsoba,76.0,71.0,147.0,11,9,20,26.68
3817853,Goa,Eduardo Bedia Peláez,69.0,78.0,147.0,12,13,25,28.0
3895134,Bayer Leverkusen,Exequiel Alejandro Palacios,77.0,70.0,147.0,12,12,24,28.77
3802683,Paris Saint-Germain,Marco Verratti,77.0,70.0,147.0,13,13,26,29.34
3837844,Paris Saint-Germain,Renato Júnior Luz Sanches,76.0,71.0,147.0,10,12,22,22.51
3802818,Paris Saint-Germain,Marcos Aoás Corrêa,75.0,71.0,146.0,9,9,18,21.28
3895210,Bayer Leverkusen,Jonas Hofmann,70.0,76.0,146.0,9,11,20,16.06
3895292,Bayer Leverkusen,Alejandro Grimaldo García,71.0,75.0,146.0,10,12,22,23.36
3837938,Paris Saint-Germain,Fabián Ruiz Peña,73.0,73.0,146.0,10,11,21,21.19
3837680,Paris Saint-Germain,Presnel Kimpembe,77.0,69.0,146.0,10,10,20,22.09
3802818,Paris Saint-Germain,Achraf Hakimi Mouh,74.0,71.0,145.0,13,11,24,21.14
3802983,Marseille,William Saliba,74.0,71.0,145.0,10,9,19,23.77
3895202,Bayer Leverkusen,Piero Martín Hincapié Reyna,72.0,73.0,145.0,9,8,17,24.25
3837938,Paris Saint-Germain,Achraf Hakimi Mouh,72.0,73.0,145.0,8,9,17,21.04
3895060,Bayer Leverkusen,Edmond Fayçal Tapsoba,80.0,65.0,145.0,12,9,21,22.17
3837987,Paris Saint-Germain,Marcos Aoás Corrêa,76.0,68.0,144.0,10,13,23,20.34
3895244,Bayer Leverkusen,Granit Xhaka,75.0,69.0,144.0,10,11,21,26.77
3837785,Paris Saint-Germain,Danilo Luís Hélio Pereira,77.0,67.0,144.0,13,12,25,23.92
3895153,Bayer Leverkusen,Piero Martín Hincapié Reyna,76.0,68.0,144.0,11,9,20,21.33
3813286,Mumbai City,Serigne Mourtada Fall,75.0,69.0,144.0,11,7,18,26.62
3813297,Bengaluru,Alan Henrique Costa,69.0,75.0,144.0,10,12,22,31.65
3895107,Bayer Leverkusen,Odilon Kossonou,73.0,71.0,144.0,10,12,22,20.25
3837844,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,62.0,82.0,144.0,10,13,23,22.05
3837771,Paris Saint-Germain,Sergio Ramos García,74.0,69.0,143.0,12,13,25,22.14
3895180,Bayer Leverkusen,Jonathan Tah,76.0,67.0,143.0,12,10,22,20.94
3802709,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,66.0,77.0,143.0,12,12,24,24.07
3837987,Paris Saint-Germain,Danilo Luís Hélio Pereira,77.0,66.0,143.0,11,9,20,20.2
3837987,Paris Saint-Germain,Achraf Hakimi Mouh,70.0,73.0,143.0,9,8,17,20.2
3838004,Paris Saint-Germain,El Chadaille Bitshiabu,72.0,71.0,143.0,8,10,18,20.14
3802676,Paris Saint-Germain,Neymar da Silva Santos Junior,61.0,82.0,143.0,9,10,19,20.52
3837954,Paris Saint-Germain,Vitor Machado Ferreira,72.0,71.0,143.0,11,11,22,17.52
3813286,Mumbai City,Ahmed Jahouh,69.0,74.0,143.0,12,9,21,26.43
3813289,Bengaluru,Alan Henrique Costa,74.0,68.0,142.0,12,11,23,32.64
3802665,Paris Saint-Germain,Marcos Aoás Corrêa,75.0,67.0,142.0,11,10,21,19.83
3895286,Bayer Leverkusen,Piero Martín Hincapié Reyna,73.0,69.0,142.0,8,9,17,20.82
3895067,Bayer Leverkusen,Odilon Kossonou,76.0,66.0,142.0,12,12,24,19.22
3895086,Bayer Leverkusen,Jonathan Tah,74.0,68.0,142.0,12,8,20,17.95
3895266,Bayer Leverkusen,Josip Stanišić,74.0,68.0,142.0,9,8,17,16.36
3817862,Mumbai City,Lalengmawia Ralte,74.0,68.0,142.0,11,13,24,32.72
3837695,Paris Saint-Germain,Renato Júnior Luz Sanches,70.0,71.0,141.0,13,13,26,21.69
3838017,Clermont Foot,Johan Gastien,72.0,69.0,141.0,12,13,25,32.94
3802907,Paris Saint-Germain,Marcos Aoás Corrêa,73.0,68.0,141.0,12,11,23,23.98
3802837,Paris Saint-Germain,Neymar da Silva Santos Junior,62.0,79.0,141.0,10,7,17,20.67
3817888,ATK Mohun Bagan,Hugo Adnan Boumous,67.0,74.0,141.0,11,11,22,26.86
