match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3837695,Paris Saint-Germain,74,22.847,365.0,0.309,4.93
3837706,Paris Saint-Germain,65,6.66,229.0,0.102,3.52
3837706,Stade Brestois,30,1.146,82.0,0.038,2.73
3837717,Lyon,44,2.965,128.0,0.067,2.91
3837717,Paris Saint-Germain,62,9.175,205.0,0.148,3.31
3837727,OGC Nice,23,2.423,88.0,0.105,3.83
3837727,Paris Saint-Germain,21,0.9329999999999999,42.0,0.044,2.0
3837747,Marseille,61,3.459,229.0,0.057,3.75
3837747,Paris Saint-Germain,80,9.047,261.0,0.113,3.26
3837752,AC Ajaccio,32,0.838,99.0,0.026,3.09
3837752,Paris Saint-Germain,43,14.617,151.0,0.34,3.51
3837771,Paris Saint-Germain,85,8.767,356.0,0.103,4.19
3837771,Troyes,25,2.277,83.0,0.091,3.32
3837785,Auxerre,40,1.772,110.0,0.044,2.75
3837785,Paris Saint-Germain,23,2.487,76.0,0.108,3.3
3837818,Angers,13,0.986,46.0,0.076,3.54
3837818,Paris Saint-Germain,40,5.93,160.0,0.148,4.0
3837827,Paris Saint-Germain,39,2.805,107.0,0.072,2.74
3837827,Rennes,22,1.623,53.0,0.074,2.41
3837839,Paris Saint-Germain,35,8.131,183.0,0.232,5.23
3837839,Stade de Reims,58,5.435,190.0,0.094,3.28
3837844,Montpellier,18,0.981,36.0,0.054,2.0
3837844,Paris Saint-Germain,69,12.112,236.0,0.176,3.42
3837859,Paris Saint-Germain,85,6.615,244.0,0.078,2.87
3837859,Toulouse,37,2.715,109.0,0.073,2.95
