match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3942382,Turkey,13.0,14.0,13.0,40.0,35.0,32.5
3942415,Brazil,14.0,7.0,14.0,35.0,20.0,40.0
3942415,Uruguay,20.0,18.0,20.0,58.0,31.03,34.48
3942416,Colombia,19.0,15.0,19.0,53.0,28.3,35.85
3942416,Panama,18.0,15.0,18.0,51.0,29.41,35.29
3942752,France,26.0,23.0,26.0,75.0,30.67,34.67
3942752,Spain,29.0,18.0,29.0,76.0,23.68,38.16
3942785,Argentina,16.0,13.0,16.0,45.0,28.89,35.56
3942785,Canada,29.0,37.0,29.0,95.0,38.95,30.53
3942819,England,28.0,25.0,28.0,81.0,30.86,34.57
3942819,Netherlands,12.0,7.0,12.0,31.0,22.58,38.71
3942852,Colombia,12.0,10.0,12.0,34.0,29.41,35.29
3942852,Uruguay,25.0,28.0,25.0,78.0,35.9,32.05
3943043,England,12.0,13.0,12.0,37.0,35.14,32.43
3943043,Spain,36.0,31.0,36.0,103.0,30.1,34.95
3943076,Canada,20.0,12.0,20.0,52.0,23.08,38.46
3943076,Uruguay,8.0,7.0,8.0,23.0,30.43,34.78
3943077,Argentina,19.0,11.0,19.0,49.0,22.45,38.78
3943077,Colombia,46.0,27.0,46.0,119.0,22.69,38.66
